2013/11/12 19:50:49 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Loading user properties from: /home/hhau/Downloads/apache-jmeter-2.10/bin/user.properties 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Loading system properties from: /home/hhau/Downloads/apache-jmeter-2.10/bin/system.properties 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Setting JMeter property: usercount=5 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Setting JMeter property: outpostfix=78r 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Setting JMeter property: hostsfile=hosts.csv 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Setting JMeter property: debugfile=debugflags.csv 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Setting JMeter property: rampup=1 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Setting JMeter property: inputdelay=1000 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Version 2.10 r1533061 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: java.version=1.6.0_27 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: java.vm.name=OpenJDK Server VM 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: os.name=Linux 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: os.arch=i386 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: os.version=3.2.0-4-686-pae 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: JMeterHome=/home/hhau/Downloads/apache-jmeter-2.10 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: user.dir  =/home/hhau/jmeter-test-plans 
2013/11/12 19:50:50 INFO  - jmeter.JMeter: PWD       =/home/hhau/jmeter-test-plans 
2013/11/12 19:50:51 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: hhau-debian FullName: hhau-debian.com 
2013/11/12 19:50:51 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2013/11/12 19:51:17 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2013/11/12 19:51:17 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2013/11/12 19:51:18 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2013/11/12 19:51:22 INFO  - jmeter.JMeter: Loading file: vote5.jmx 
2013/11/12 19:51:22 INFO  - jmeter.services.FileServer: Default base='/home/hhau/jmeter-test-plans' 
2013/11/12 19:51:22 INFO  - jmeter.services.FileServer: Set new base='/home/hhau/jmeter-test-plans' 
2013/11/12 19:51:22 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2013/11/12 19:51:26 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2013/11/12 19:51:26 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2013/11/12 19:51:26 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.5 
2013/11/12 19:51:26 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1519088 
2013/11/12 19:51:26 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2013/11/12 19:51:26 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2013/11/12 19:51:27 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2013/11/12 19:51:27 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
