2013/11/19 14:52:33 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Loading user properties from: /home/hhau/Downloads/apache-jmeter-2.10/bin/user.properties 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Loading system properties from: /home/hhau/Downloads/apache-jmeter-2.10/bin/system.properties 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Setting JMeter property: usercount=5 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Setting JMeter property: outpostfix=2 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Setting JMeter property: hostsfile=hosts.csv 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Setting JMeter property: debugfile=debugflags.csv 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Setting JMeter property: rampup=1 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Setting JMeter property: inputdelay=1000 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Version 2.10 r1533061 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: java.version=1.6.0_27 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: java.vm.name=OpenJDK Server VM 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: os.name=Linux 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: os.arch=i386 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: os.version=3.2.0-4-686-pae 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: JMeterHome=/home/hhau/Downloads/apache-jmeter-2.10 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: user.dir  =/home/hhau/jmeter-test-plans/php 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: PWD       =/home/hhau/jmeter-test-plans/php 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: hhau-debian FullName: hhau-debian.com 
2013/11/19 14:52:34 INFO  - jmeter.services.FileServer: Default base='/home/hhau/jmeter-test-plans/php' 
2013/11/19 14:52:34 INFO  - jmeter.services.FileServer: Set new base='/home/hhau/jmeter-test-plans/php/..' 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Loading file: ../vote5.jmx 
2013/11/19 14:52:34 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2013/11/19 14:52:34 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2013/11/19 14:52:34 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.5 
2013/11/19 14:52:34 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1519088 
2013/11/19 14:52:34 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2013/11/19 14:52:34 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2013/11/19 14:52:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2013/11/19 14:52:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2013/11/19 14:52:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2013/11/19 14:52:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2013/11/19 14:52:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2013/11/19 14:52:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2013/11/19 14:52:34 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2013/11/19 14:52:34 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2013/11/19 14:52:34 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/19 14:52:34 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/19 14:52:34 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/19 14:52:34 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2013/11/19 14:52:34 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2013/11/19 14:52:34 WARN  - jmeter.reporters.ResultCollector: Error creating directories for /home/niels/jmeter/loginresults 
2013/11/19 14:52:34 INFO  - jmeter.JMeter: Running test (1384869154592) 
2013/11/19 14:52:34 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2013/11/19 14:52:34 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Thread Group. 
2013/11/19 14:52:34 INFO  - jmeter.engine.StandardJMeterEngine: Thread will stop on error 
2013/11/19 14:52:34 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 1 perThread 200.0 delayedStart=false 
2013/11/19 14:52:34 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2013/11/19 14:52:34 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2013/11/19 14:52:34 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2013/11/19 14:52:34 INFO  - jmeter.services.FileServer: Stored: debugflags.csv Alias: debugflags.csv@11650554 
2013/11/19 14:52:34 INFO  - jmeter.services.FileServer: Stored: hosts.csv Alias: hosts.csv@11650554 
2013/11/19 14:52:34 INFO  - jmeter.services.FileServer: Stored: testdata/200users_woheader.csv Alias: testdata/200users_woheader.csv@11650554 
2013/11/19 14:52:34 ERROR - jmeter.config.CSVDataSet: java.io.FileNotFoundException: /home/hhau/jmeter-test-plans/php/../testdata/200users_woheader.csv (No such file or directory) 
2013/11/19 14:52:34 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/19 14:52:34 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/19 14:52:34 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = hhau-debian 
2013/11/19 14:52:34 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2013/11/19 14:52:34 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2013/11/19 14:52:34 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2013/11/19 14:52:34 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2013/11/19 14:52:34 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2013/11/19 14:52:34 ERROR - jmeter.config.CSVDataSet: java.io.FileNotFoundException: /home/hhau/jmeter-test-plans/php/../testdata/200users_woheader.csv (No such file or directory) 
2013/11/19 14:52:35 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2013/11/19 14:52:35 ERROR - jmeter.config.CSVDataSet: java.io.FileNotFoundException: /home/hhau/jmeter-test-plans/php/../testdata/200users_woheader.csv (No such file or directory) 
2013/11/19 14:52:35 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2013/11/19 14:52:35 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2013/11/19 14:52:35 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2013/11/19 14:52:35 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2013/11/19 14:52:35 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2013/11/19 14:52:35 ERROR - jmeter.config.CSVDataSet: java.io.FileNotFoundException: /home/hhau/jmeter-test-plans/php/../testdata/200users_woheader.csv (No such file or directory) 
2013/11/19 14:52:35 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2013/11/19 14:52:35 ERROR - jmeter.config.CSVDataSet: java.io.FileNotFoundException: /home/hhau/jmeter-test-plans/php/../testdata/200users_woheader.csv (No such file or directory) 
2013/11/19 14:52:38 INFO  - jmeter.protocol.http.parser.HTMLParser: Created org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2013/11/19 14:52:43 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: Thread Group 1-3 
2013/11/19 14:52:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-3 
2013/11/19 14:52:44 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: Thread Group 1-1 
2013/11/19 14:52:44 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2013/11/19 14:52:44 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: Thread Group 1-2 
2013/11/19 14:52:44 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-2 
2013/11/19 14:52:45 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: Thread Group 1-4 
2013/11/19 14:52:45 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: Thread Group 1-5 
2013/11/19 14:52:45 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-4 
2013/11/19 14:52:45 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-5 
2013/11/19 14:52:45 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/19 14:52:45 INFO  - jmeter.services.FileServer: Close: debugflags.csv@11650554 
2013/11/19 14:52:45 INFO  - jmeter.services.FileServer: Close: hosts.csv@11650554 
